"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Costa Rica","CRI","2017","23.298",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Costa Rica","CRI","2016","21.490",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Costa Rica","CRI","2015","24.322",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Costa Rica","CRI","2011","24.590",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Costa Rica","CRI","2010","25.249",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Costa Rica","CRI","2007","25.765",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Costa Rica","CRI","2002","30.050",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Costa Rica","CRI","2001","31.250",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2017","21.002",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2016","21.259",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2015","18.337",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2014","19.861",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2012","15.446",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2010","16.732",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2009","15.819",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2008","16.065",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2007","17.840",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2006","21.130",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2005","18.220",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2003","20.044",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2002","23.971",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","2001","28.065",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Croatia","HRV","1999","32.872",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cuba","CUB","2016","33.197",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cuba","CUB","2012","47.676",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2017","28.459",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2016","30.653",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2015","35.417",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2014","35.897",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2013","30.522",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2012","23.636",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2011","20.181",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2010","37.143",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2009","30.841",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2008","23.750",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2007","21.538",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2006","29.187",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2004","29.515",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2003","28.276",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","2002","44.118",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cyprus","CYP","1999","44.737",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2017","15.565",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2016","15.269",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2015","13.488",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2014","16.239",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2013","14.280",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2012","14.204",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2011","13.627",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2010","13.690",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2009","15.061",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2008","14.963",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2007","17.334",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2005","20.000",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2004","21.266",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2003","20.658",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2002","12.883",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2001","12.886",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","2000","11.867",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Czechia","CZE","1999","14.627",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2017","24.001",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2016","21.294",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2015","19.747",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2014","23.019",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2013","21.712",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2012","24.374",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2011","23.413",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2010","19.499",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2009","19.824",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2008","21.861",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2007","19.309",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2006","18.370",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2005","21.637",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2004","23.720",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2003","19.490",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2002","18.833",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2001","14.189",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","2000","14.550",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Denmark","DNK","1999","16.371",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Dominican Republic","DOM","2017","39.413",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Dominican Republic","DOM","2016","25.783",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Dominican Republic","DOM","2015","38.910",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ecuador","ECU","2016","36.817",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ecuador","ECU","2015","36.808",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ecuador","ECU","2014","35.409",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ecuador","ECU","2008","39.493",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ecuador","ECU","2007","57.850",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Egypt, Arab Rep.","EGY","2016","36.809",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2018","26.158",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2017","25.983",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2016","27.966",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2015","30.488",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2012","34.068",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2011","34.888",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2010","37.346",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2009","36.018",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2008","39.251",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2007","41.147",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2006","40.370",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2005","43.503",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2003","44.972",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","El Salvador","SLV","2002","43.575",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Eritrea","ERI","2016","0.000",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Eritrea","ERI","2015","0.000",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Eritrea","ERI","2004","9.677",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Eritrea","ERI","2003","7.692",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2017","28.892",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2016","26.994",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2015","29.845",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2014","27.736",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2013","23.776",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2012","20.354",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2011","25.610",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2010","25.899",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2009","24.554",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2008","23.583",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2007","22.239",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2006","29.965",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2005","26.446",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2004","28.205",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2003","24.706",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2002","21.759",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2001","32.536",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","2000","22.156",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Estonia","EST","1999","14.414",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ethiopia","ETH","2010","28.059",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ethiopia","ETH","2008","21.898",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ethiopia","ETH","2005","25.040",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ethiopia","ETH","2004","31.325",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ethiopia","ETH","2003","29.398",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ethiopia","ETH","2002","29.330",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ethiopia","ETH","2000","35.714",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ethiopia","ETH","1999","17.647",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2017","20.746",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2016","20.642",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2015","19.318",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2014","26.394",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2013","23.689",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2012","23.851",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2011","27.453",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2010","28.400",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2009","26.974",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2004","42.919",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2003","40.846",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2002","42.353",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2001","39.540",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","2000","40.386",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","1999","35.083",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Finland","FIN","1998","39.414",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2016","16.458",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2015","16.722",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2014","16.694",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2013","17.936",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2012","16.136",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2009","14.629",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2008","15.845",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2007","14.446",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2006","14.439",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2004","17.188",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2003","21.685",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2002","20.746",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","France","FRA","2000","17.488",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Gambia, The","GMB","2012","53.242",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Gambia, The","GMB","2011","53.931",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2019","20.575",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2018","23.647",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2017","24.504",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2016","26.842",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2012","37.045",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2010","43.743",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2007","39.006",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2006","39.394",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2004","41.667",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2003","14.286",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2002","55.556",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2001","55.556",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","2000","48.837",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Georgia","GEO","1999","75.676",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Germany","DEU","2017","19.408",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Germany","DEU","2016","18.141",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Germany","DEU","2015","17.637",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Germany","DEU","2002","11.331",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Germany","DEU","2001","12.370",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Germany","DEU","2000","10.641",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Germany","DEU","1999","11.687",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ghana","GHA","2018","19.868",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ghana","GHA","2017","11.024",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ghana","GHA","2016","15.410",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Ghana","GHA","2015","2.606",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2017","35.686",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2016","38.761",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2014","35.374",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2013","36.007",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2012","37.209",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2011","37.859",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2010","39.952",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2008","41.284",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2007","46.436",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2005","33.472",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Greece","GRC","2004","32.166",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Grenada","GRD","2018","24.096",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Grenada","GRD","2017","21.622",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Grenada","GRD","2015","39.683",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guatemala","GTM","2015","21.074",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guatemala","GTM","2014","27.912",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guyana","GUY","2012","26.582",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guyana","GUY","2011","37.931",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guyana","GUY","2010","37.931",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guyana","GUY","2009","37.931",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guyana","GUY","2008","43.750",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guyana","GUY","2007","37.234",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guyana","GUY","2006","40.984",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guyana","GUY","2005","32.331",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Guyana","GUY","2004","39.806",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Honduras","HND","2018","27.145",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Honduras","HND","2017","31.863",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Honduras","HND","2016","27.511",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Honduras","HND","2015","30.236",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Honduras","HND","2012","39.942",""
